Name,front,rear,Cd
DP 169,0.1072,31.775,0.169869
DP 170,0.10735,31.75,0.169392
DP 171,0.1075,31.725,0.174892
DP 172,0.10765,31.7,0.179777
DP 173,0.1078,31.675,0.172116
DP 174,0.10795,31.65,0.166905
DP 175,0.1081,31.625,0.170177
DP 176,0.10825,31.6,0.175598
DP 177,0.1084,31.575,0.173582
DP 178,0.10855,31.55,0.163261
DP 179,0.1087,31.525,0.179911
DP 180,0.10885,31.5,0.176605
DP 181,0.109,31.475,0.168798
DP 182,0.10915,31.45,0.17504
DP 183,0.1093,31.425,0.1792
DP 184,0.10945,31.4,0.175711
DP 185,0.1096,31.375,0.177263
DP 186,0.10975,31.35,0.177958
DP 187,0.1099,31.325,0.178044
DP 188,0.11005,31.3,0.185786
DP 189,0.1102,31.275,0.182985
DP 190,0.11035,31.25,0.181776
DP 191,0.1105,31.225,0.187772
DP 192,0.11065,31.2,0.166758
DP 193,0.1108,31.175,0.161737
DP 194,0.11095,31.15,0.167137
DP 195,0.1111,31.125,0.16947
DP 196,0.11125,31.1,0.161927
DP 197,0.1114,31.075,0.167175
DP 198,0.11155,31.05,0.171641
DP 199,0.1117,31.025,0.179329
DP 200,0.11185,31,0.169795
DP 201,0.112,30.975,0.176215
DP 202,0.11215,30.95,0.162079
DP 203,0.1123,30.925,0.170359
DP 204,0.11245,30.9,0.172835
DP 205,0.1126,30.875,0.163176
DP 206,0.11275,30.85,0.166399
DP 207,0.1129,30.825,0.171419
DP 208,0.11305,30.8,0.171762
DP 209,0.1132,30.775,0.172389
DP 210,0.11335,30.75,0.172197
DP 211,0.1135,30.725,0.178516
DP 212,0.11365,30.7,0.170115
DP 213,0.1138,30.675,0.178034
DP 214,0.11395,30.65,0.180586
DP 215,0.1141,30.625,0.165772
DP 216,0.11425,30.6,0.169011
DP 217,0.1144,30.575,0.180668
DP 218,0.11455,30.55,0.164383
DP 219,0.1147,30.525,0.172729
DP 220,0.11485,30.5,0.165739
DP 221,0.115,30.475,0.177359
DP 222,0.11515,30.45,0.173616
DP 223,0.1153,30.425,0.178852
DP 224,0.11545,30.4,0.173359
DP 225,0.1156,30.375,0.176273
DP 226,0.11575,30.35,0.180554
DP 227,0.1159,30.325,0.173113
DP 228,0.11605,30.3,0.17782
DP 229,0.1162,30.275,0.17425
DP 230,0.11635,30.25,0.175179
DP 231,0.1165,30.225,0.177615
DP 232,0.11665,30.2,0.175242
DP 233,0.1168,30.175,0.165897
DP 234,0.11695,30.15,0.17618
DP 235,0.1171,30.125,0.170681
DP 236,0.11725,30,0.172975
DP 237,0.1174,29.975,0.182487
